english_term,approved_arabic_term,context,avoid_using,capitalization_rule,usage
Program,برنامج,Used when describing a learning track (e.g., General English Program),بروغرام,English: Title Case,Public
Course,برنامج تعليمي / دورة,"The standard term for a learning course. Use دورة or برنامج تعليمي depending on context.",كورس,English: lowercase unless part of a title,Public
Live online lessons,حصص مباشرة أونلاين,Used to describe the live virtual nature of the classes.,التعلم عن بعد / إلكترونيًا,English: lowercase,Public
Instructor,المدرّس / المدرّسة,The preferred term for course teachers at the center. Use the correct gendered form.,أستاذ / معلّم (unless Kids program),English: lowercase,Public
Learner,المتعلّم,Used to describe the person taking the course in an educational context.,,English: lowercase,Public
Student,الطالب,Standard term for enrolled individual.,متعلم (when referring to enrollment status),English: lowercase,Public
English level,مستوى اللغة الإنجليزية,Describes the student's current English proficiency level.,مستوى الإنجليزي,English: lowercase,Public
Learning goals,أهداف التعلّم,What the student wants to achieve.,غاية التعليم,English: lowercase,Public
Review materials,مواد المراجعة,Materials provided for students to practice after class.,,English: lowercase,Public
Lesson recordings,تسجيلات مختارة من الحصص,Specific recordings shared with enrolled students.,كل الحصص مسجلة / تسجيل دائم,English: lowercase,Public
Exercises,تمارين,Practice tasks.,واجبات مدرسية,English: lowercase,Public
Group program,برنامج جماعي,Session shared by multiple students.,درس مجموعة,English: lowercase,Public
Private lessons,حصص فردية,One-on-one session with an instructor.,جلسة خاصة,English: lowercase,Public
Registration,التسجيل,The act of submitting an application.,الاشتراك,English: lowercase,Public
Current course fees,الرسوم الحالية للبرنامج,Pricing details provided privately.,أسعار / أرخص سعر,English: lowercase,Public
Available schedules,المواعيد المتاحة,Timing options provided privately.,جدول ثابت,English: lowercase,Public
Contact us on WhatsApp,تواصل معنا عبر واتساب,Call to action for inquiries.,اتصل بنا,English: Title Case,Public
Register online,سجّل أونلاين,Primary call to action for course registration.,اشترك الآن,English: Title Case,Public
Edu Creativity Center,Edu Creativity Center,"Official brand name. Do not translate. Descriptive Arabic: أكاديمية متخصصة في تعليم اللغة الإنجليزية أونلاين.","مركز الإبداع التعليمي / مركز إديو",English: Title Case,Public
