current_url,current_file,proposed_en_url,proposed_ar_url,required_301_redirect,canonical_url_after_migration,hreflang_en,hreflang_ar,x_default,migration_risk,confirmation_required,current_indexing_status,notes
/,index.html,/en/,/ar/,/ → /en/ (with language detection at root),https://DOMAIN/en/,https://DOMAIN/en/,https://DOMAIN/ar/,https://DOMAIN/,HIGH — language detection logic must be implemented; root redirect must not break direct /en/ or /ar/ access,Domain name must be confirmed before implementing,Indexable (no robots.txt blocking),Root URL strategy requires hosting support. Static HTML requires either a redirect page or hosting-level redirect rule.
/index.html,index.html,/en/,/ar/,/index.html → /en/,https://DOMAIN/en/,https://DOMAIN/en/,https://DOMAIN/ar/,https://DOMAIN/,MEDIUM — straightforward redirect; old URL already low-traffic,Domain name confirmation,Indexable,HTML extension URL may be indexed currently. Must redirect before removing file.
/about.html,about.html,/en/about/,/ar/about/,/about.html → /en/about/,https://DOMAIN/en/about/,https://DOMAIN/en/about/,https://DOMAIN/ar/about/,,MEDIUM,Domain confirmation + real staff content before Arabic page is built,Indexable,Arabic page must not be built until real staff information is confirmed.
/courses.html,courses.html,/en/courses/,/ar/courses/,/courses.html → /en/courses/,https://DOMAIN/en/courses/,https://DOMAIN/en/courses/,https://DOMAIN/ar/courses/,,MEDIUM,Domain confirmation + price/course details confirmation,Indexable,Prices and course list must be confirmed before building Arabic version.
/contact.html,contact.html,/en/contact/,/ar/contact/,/contact.html → /en/contact/,https://DOMAIN/en/contact/,https://DOMAIN/en/contact/,https://DOMAIN/ar/contact/,,MEDIUM,Domain confirmation + phone/address confirmation,Indexable,Phone number conflict must be resolved before contact page is rebuilt.
/kidsenglishadventure.html,kidsenglishadventure.html,/en/courses/kids-english-adventure/,/ar/courses/kids-english-adventure/,/kidsenglishadventure.html → /en/courses/kids-english-adventure/,https://DOMAIN/en/courses/kids-english-adventure/,https://DOMAIN/en/courses/kids-english-adventure/,https://DOMAIN/ar/courses/kids-english-adventure/,,MEDIUM,Domain confirmation + CEFR level + duration + schedule,Indexable,New URL is cleaner and more SEO-friendly. Arabic requires confirmed course facts.
/thecomprehensivemastery1.html,thecomprehensivemastery1.html,/en/courses/comprehensive-mastery/,/ar/courses/comprehensive-mastery/,/thecomprehensivemastery1.html → /en/courses/comprehensive-mastery/,https://DOMAIN/en/courses/comprehensive-mastery/,https://DOMAIN/en/courses/comprehensive-mastery/,https://DOMAIN/ar/courses/comprehensive-mastery/,,MEDIUM — '1' suffix removed from new URL,Domain confirmation + course facts,Indexable,Old filename has confusing '1' suffix. New slug is cleaner.
/1-on-1personalized.html,1-on-1personalized.html,/en/courses/1-on-1-personalized/,/ar/courses/1-on-1-personalized/,/1-on-1personalized.html → /en/courses/1-on-1-personalized/,https://DOMAIN/en/courses/1-on-1-personalized/,https://DOMAIN/en/courses/1-on-1-personalized/,https://DOMAIN/ar/courses/1-on-1-personalized/,,MEDIUM,Domain confirmation + course facts,Indexable,Old URL starts with digit. New URL retains 1-on-1 but hyphenates correctly.
/login.html,login.html,/register/,/register/,/login.html → /register/,https://DOMAIN/register/,Not applicable (Arabic-only page),Not applicable,Not applicable,LOW — no SEO value expected; form is Arabic-only,NEEDS_CONFIRMATION of production API endpoint before changing this page,Indexable (currently — should have noindex added),noindex should be added before URL migration. The page serves Arabic users and should not appear in search results.
/background.html,background.html,Not applicable (internal),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,LOW,None,Indexable (currently — should have noindex and robots block),Add noindex. Block in robots.txt. No content page — internal animation only.
/en/faq/,(not yet built),/en/faq/,/ar/faq/,Not applicable — new page,https://DOMAIN/en/faq/,https://DOMAIN/en/faq/,https://DOMAIN/ar/faq/,,LOW — new page; no existing URL to break,FAQ content must be confirmed and written,Not yet indexed,Recommended Phase 2 page. Requires approved FAQ content from owner.
/en/placement-test/,(not yet built),/en/placement-test/,/ar/placement-test/,Not applicable — new page,https://DOMAIN/en/placement-test/,https://DOMAIN/en/placement-test/,https://DOMAIN/ar/placement-test/,,LOW — new page,Placement test process must be described by owner,Not yet indexed,Recommended Phase 2 page. Requires factual description of the placement process.
